COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Mexico,MEX,AMRO,REPORTING,6/18/2021,38248562,26665789,29.666,20.682,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,5
Micronesia (Federated States of),FSM,WPRO,REPORTING,5/28/2021,42392,24672,36.855,21.45,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/13/2021,4
Monaco,MCO,EURO,OWID,6/10/2021,33965,18836,86.5,47.997,Pfizer BioNTech - Comirnaty,,1
Mongolia,MNG,WPRO,REPORTING,6/11/2021,3528572,1890678,107.635,57.673,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,6
Montenegro,MNE,EURO,REPORTING,6/6/2021,218285,135870,34.8,21.633,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2/24/2021,4
Montserrat,MSR,AMRO,REPORTING,6/18/2021,2600,1394,52.01,27.886,AstraZeneca - Vaxzevria,2/8/2021,1
Morocco,MAR,EMRO,REPORTING,6/8/2021,15380193,9216223,41.669,24.969,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",1/28/2021,4
Mozambique,MOZ,AFRO,REPORTING,6/20/2021,394930,323531,1.264,1.035,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/8/2021,2
Myanmar,MMR,SEARO,REPORTING,5/13/2021,2994900,1772177,5.504,3.257,SII - Covishield,1/27/2021,1
Namibia,NAM,AFRO,REPORTING,6/20/2021,123954,104103,4.878,4.097,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/19/2021,2
Nauru,NRU,WPRO,REPORTING,6/11/2021,8489,7486,78.355,69.097,"AstraZeneca - Vaxzevria,SII - Covishield",4/9/2021,2
Nepal,NPL,SEARO,REPORTING,6/15/2021,3153419,2461925,10.823,8.45,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",1/27/2021,4
